"Page Title","URL","Title Length","Duplicate Title","Meta Description","Meta Length","Duplicate Meta","GA",
"Brachot 5 - Prayer Shema at Bedtime","http://talmudilluminated.com/brachot/brachot5.html","35","No","Missing Meta Description","0","No","No",
"Brachot 6 - Demons","http://talmudilluminated.com/brachot/brachot6.html","18","No","Missing Meta Description","0","No","No",
"Brachot 7 - God Prays","http://talmudilluminated.com/brachot/brachot7.html","21","No","Missing Meta Description","0","No","No",
"Brachot 8 - The Synagogue","http://talmudilluminated.com/brachot/brachot8.html","25","No","Missing Meta Description","0","No","No",
"Brachot 9 - Evening Shema - Till Midnight or Till Morning?","http://talmudilluminated.com/brachot/brachot9.html","58","No","Missing Meta Description","0","No","No",
"Brachot 10 - Prayer of the Refined","http://talmudilluminated.com/brachot/brachot10.html","34","No","Missing Meta Description","0","No","No",
"Brachot 11 - Lying Down to Say the Shema","http://talmudilluminated.com/brachot/brachot11.html","40","No","Missing Meta Description","0","No","No",
"Brachot 12 - The Prayers of the Kohanim","http://talmudilluminated.com/brachot/brachot12.html","39","No","Missing Meta Description","0","No","No",
"Brachot 13 - Remembering Egypt","http://talmudilluminated.com/brachot/brachot13.html","30","No","Missing Meta Description","0","No","No",
"Brachot 14 - Greeting a Fellow Before Morning Prayer","http://talmudilluminated.com/brachot/brachot14.html","52","No","Missing Meta Description","0","No","No",
"Brachot 15 - Proper Way","http://talmudilluminated.com/brachot/brachot15.html","23","No","Missing Meta Description","0","No","No",
"Brachot 16 - Workers and Bridegroom Say Shema","http://talmudilluminated.com/brachot/brachot16.html","45","No","Missing Meta Description","0","No","No",
"Brachot 17 - Rabban Gamliel is a Delicate Individual","http://talmudilluminated.com/brachot/brachot17.html","52","No","Missing Meta Description","0","No","No",
"Brachot 18 - When one's dead lies before him","http://talmudilluminated.com/brachot/brachot18.html","44","No","Missing Meta Description","0","No","No",
"Brachot 19 - Honor of the Sages","http://talmudilluminated.com/brachot/brachot19.html","31","No","Missing Meta Description","0","No","No",
"Brachot 20 - Human Dignity vs Honor of God","http://talmudilluminated.com/brachot/brachot20.html","42","No","Missing Meta Description","0","No","No",
"Brachot 21 - Extra Purity for Shema","http://talmudilluminated.com/brachot/brachot21.html","35","No","Missing Meta Description","0","No","No",
"Brachot 22 - Words of Torah do not Become Impure","http://talmudilluminated.com/brachot/brachot22.html","48","No","Missing Meta Description","0","No","No",
"Brachot 23 - Attending to one's needs","http://talmudilluminated.com/brachot/brachot23.html","37","No","Missing Meta Description","0","No","No",
"Brachot 24 - Saying Shema in the presence of nakedness","http://talmudilluminated.com/brachot/brachot24.html","54","No","Missing Meta Description","0","No","No",
"Brachot 25 - Reciting the Shema in a filthy alley","http://talmudilluminated.com/brachot/brachot25.html","49","No","Missing Meta Description","0","No","No",
"Brachot 26 - Who Established Prayer?","http://talmudilluminated.com/brachot/brachot26.html","36","No","Missing Meta Description","0","No","No",
"Brachot 27 - When the sun grew hot, the manna would melt","http://talmudilluminated.com/brachot/brachot27.html","56","No","Missing Meta Description","0","No","No",
"Brachot 28 - That day","http://talmudilluminated.com/brachot/brachot28.html","21","No","Missing Meta Description","0","No","No",
"Brachot 29 - Eighteen blessings","http://talmudilluminated.com/brachot/brachot29.html","31","No","Missing Meta Description","0","No","No",
"Brachot 30 - One Who hears prayer","http://talmudilluminated.com/brachot/brachot30.html","33","No","Missing Meta Description","0","No","No",
"Brachot 31 - How to pray","http://talmudilluminated.com/brachot/brachot31.html","24","No","Missing Meta Description","0","No","No",
"Brachot 32 - Flinging words upward toward Heaven","http://talmudilluminated.com/brachot/brachot32.html","48","No","Missing Meta Description","0","No","No",
"Brachot 33 - Incidents while praying","http://talmudilluminated.com/brachot/brachot33.html","36","No","Missing Meta Description","0","No","No",
"Brachot 34 - Wrong prayers","http://talmudilluminated.com/brachot/brachot34.html","26","No","Missing Meta Description","0","No","No",
"Brachot 35 - Why say a blessing?","http://talmudilluminated.com/brachot/brachot35.html","32","No","Missing Meta Description","0","No","No",
"Brachot 36 - The special blessing for wine","http://talmudilluminated.com/brachot/brachot36.html","42","No","Missing Meta Description","0","No","No",
"Brachot 37 - Blessing for pepper","http://talmudilluminated.com/brachot/brachot37.html","32","No","Missing Meta Description","0","No","No",
"Brachot 38 - Bread and vegetables","http://talmudilluminated.com/brachot/brachot38.html","33","No","Missing Meta Description","0","No","No",
"Brachot 39 - A whole loaf or slices of better quality","http://talmudilluminated.com/brachot/brachot39.html","53","No","Missing Meta Description","0","No","No",
"Brachot 40 - Serving bread","http://talmudilluminated.com/brachot/brachot40.html","26","No","Missing Meta Description","0","No","No",
"Brachot 41 - Which fruit to bless first","http://talmudilluminated.com/brachot/brachot41.html","39","No","Missing Meta Description","0","No","No",
"Brachot 42 - When is a meal complete?","http://talmudilluminated.com/brachot/brachot42.html","37","No","Missing Meta Description","0","No","No",
"Brachot 43 - Eating in a company","http://talmudilluminated.com/brachot/brachot43.html","32","No","Missing Meta Description","0","No","No",
"Brachot 44 - The fruit of Kinneret","http://talmudilluminated.com/brachot/brachot44.html","34","No","Missing Meta Description","0","No","No",
"Brachot 45 - Three people ate together","http://talmudilluminated.com/brachot/brachot45.html","38","No","Missing Meta Description","0","No","No",
"Brachot 46 - The host breaks bread, and the guest blesses","http://talmudilluminated.com/brachot/brachot46.html","57","No","Missing Meta Description","0","No","No",
"Brachot 47 - Etiquette","http://talmudilluminated.com/brachot/brachot47.html","22","No","Missing Meta Description","0","No","No",
"Brachot 48 - When not to join in prayer","http://talmudilluminated.com/brachot/brachot48.html","39","No","Missing Meta Description","0","No","No",
"Brachot 49 - What to mention in the prayer after a meal","http://talmudilluminated.com/brachot/brachot49.html","55","No","Missing Meta Description","0","No","No",
"Brachot 50 - How to invite to prayer","http://talmudilluminated.com/brachot/brachot50.html","36","No","Missing Meta Description","0","No","No",
"Brachot 51 - Respect for food","http://talmudilluminated.com/brachot/brachot51.html","29","No","Missing Meta Description","0","No","No",
"Brachot 52 - Laws of the meal, Beit Shammai vs Beit Hillel","http://talmudilluminated.com/brachot/brachot52.html","58","No","Missing Meta Description","0","No","No",
"Brachot 53 - Where to say the after-meal prayer","http://talmudilluminated.com/brachot/brachot53.html","47","No","Missing Meta Description","0","No","No",
"Brachot 54 - Blessings on miracles","http://talmudilluminated.com/brachot/brachot54.html","34","No","Missing Meta Description","0","No","No",
"Brachot 55 - An uninterpreted dream is like an unread letter","http://talmudilluminated.com/brachot/brachot55.html","60","No","Missing Meta Description","0","No","No",
"Brachot 56 - Dreams follow the interpretation","http://talmudilluminated.com/brachot/brachot56.html","45","No","Missing Meta Description","0","No","No",
"Brachot 57 - Symbols in dream interpretation","http://talmudilluminated.com/brachot/brachot57.html","44","No","Missing Meta Description","0","No","No",
"Brachot 58 - The world is created for the Sage","http://talmudilluminated.com/brachot/brachot58.html","46","No","Missing Meta Description","0","No","No",
"Brachot 59 - Blessings for all occasions","http://talmudilluminated.com/brachot/brachot59.html","40","No","Missing Meta Description","0","No","No",
"Brachot 60 - Blessings on bad events","http://talmudilluminated.com/brachot/brachot60.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 6 - Four areas for Shabbat","http://talmudilluminated.com/shabbat/shabbat6.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 7 - Special area called &quot;karmelit&quot;","http://talmudilluminated.com/shabbat/shabbat7.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 8 - Throwing a basket","http://talmudilluminated.com/shabbat/shabbat8.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 9 - Afternoon","http://talmudilluminated.com/shabbat/shabbat9.html","21","No","Missing Meta Description","0","No","No",
"Shabbat 10 - Giving a gift","http://talmudilluminated.com/shabbat/shabbat10.html","26","No","Missing Meta Description","0","No","No",
"Shabbat 11 - Friday afternoon","http://talmudilluminated.com/shabbat/shabbat11.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 12 - Work that is not needed","http://talmudilluminated.com/shabbat/shabbat12.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 13 - How Beit Shammai outnumbered Beit Hillel","http://talmudilluminated.com/shabbat/shabbat13.html","53","No","Missing Meta Description","0","No","No",
"Shabbat 14 - The Eighteen wins of Beit Shammai","http://talmudilluminated.com/shabbat/shabbat14.html","46","No","Missing Meta Description","0","No","No",
"Shabbat 15 - Shammai and Hillel argued no more than three times","http://talmudilluminated.com/shabbat/shabbat15.html","63","No","Missing Meta Description","0","No","No",
"Shabbat 16 - Glass vessels, what are they?","http://talmudilluminated.com/shabbat/shabbat16.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 17 - The other decrees of Beit Shammai","http://talmudilluminated.com/shabbat/shabbat17.html","46","No","Missing Meta Description","0","No","No",
"Shabbat 18 - Vessels working on Shabbat","http://talmudilluminated.com/shabbat/shabbat18.html","39","No","Missing Meta Description","0","No","No",
"Shabbat 19 - Lest he stokes the coals","http://talmudilluminated.com/shabbat/shabbat19.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 20 - Lighting Shabbat Candles","http://talmudilluminated.com/shabbat/shabbat20.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 21 - Oils unusable on Shabbat","http://talmudilluminated.com/shabbat/shabbat21.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 22 - Hanukkah","http://talmudilluminated.com/shabbat/shabbat22.html","21","No","Missing Meta Description","0","No","No",
"Shabbat 23 - Being above suspicion","http://talmudilluminated.com/shabbat/shabbat23.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 24 - Shabbat or Hanukkah, which is more important?","http://talmudilluminated.com/shabbat/shabbat24.html","58","No","Missing Meta Description","0","No","No",
"Shabbat 25 - The delights of Shabbat","http://talmudilluminated.com/shabbat/shabbat25.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 26 - Oils for Shabbat lamp","http://talmudilluminated.com/shabbat/shabbat26.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 27 - A small piece of clothing","http://talmudilluminated.com/shabbat/shabbat27.html","38","No","Missing Meta Description","0","No","No",
"Shabbat 28 - Wick made of wood","http://talmudilluminated.com/shabbat/shabbat28.html","30","No","Missing Meta Description","0","No","No",
"Shabbat 29 - A folded garment","http://talmudilluminated.com/shabbat/shabbat29.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 31 - Shammai and Hillel","http://talmudilluminated.com/shabbat/shabbat31.html","31","No","Missing Meta Description","0","No","No",
"Shabbat 32 - Protective merits of a person","http://talmudilluminated.com/shabbat/shabbat32.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 33 - Rewards - and punishments","http://talmudilluminated.com/shabbat/shabbat33.html","38","No","Missing Meta Description","0","No","No",
"Shabbat 34 - Rabbi Shimon bar Yochai","http://talmudilluminated.com/shabbat/shabbat34.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 35 - Twilight","http://talmudilluminated.com/shabbat/shabbat35.html","21","No","Missing Meta Description","0","No","No",
"Shabbat 36 -- Announcing Shabbat","http://talmudilluminated.com/shabbat/shabbat36.html","32","No","Missing Meta Description","0","No","No",
"Shabbat 37 - Shabbat stoves","http://talmudilluminated.com/shabbat/shabbat37.html","27","No","Missing Meta Description","0","No","No",
"Shabbat 38 - Putting the food back","http://talmudilluminated.com/shabbat/shabbat38.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 39 - Cooking in the sun","http://talmudilluminated.com/shabbat/shabbat39.html","31","No","Missing Meta Description","0","No","No",
"Shabbat 40 - Shabbat bath","http://talmudilluminated.com/shabbat/shabbat40.html","25","No","Missing Meta Description","0","No","No",
"Shabbat 41 - Shabbat swim","http://talmudilluminated.com/shabbat/shabbat41.html","25","No","Missing Meta Description","0","No","No",
"Shabbat 42 - From the frying pan into the fire","http://talmudilluminated.com/shabbat/shabbat42.html","46","No","Missing Meta Description","0","No","No",
"Shabbat 43 - Corpse in the sun","http://talmudilluminated.com/shabbat/shabbat43.html","30","No","Missing Meta Description","0","No","No",
"Shabbat 44 - A new lamp, but not the old one","http://talmudilluminated.com/shabbat/shabbat44.html","44","No","Missing Meta Description","0","No","No",
"Shabbat 45 - The right approach to muktzeh","http://talmudilluminated.com/shabbat/shabbat45.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 46 - Finer distinctions in muktzeh","http://talmudilluminated.com/shabbat/shabbat46.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 47 - Ash","http://talmudilluminated.com/shabbat/shabbat47.html","16","No","Missing Meta Description","0","No","No",
"Shabbat 48 - Wrap the food","http://talmudilluminated.com/shabbat/shabbat48.html","26","No","Missing Meta Description","0","No","No",
"Shabbat 49 - Elisha with the dove's wings","http://talmudilluminated.com/shabbat/shabbat49.html","41","No","Missing Meta Description","0","No","No",
"Shabbat 50 - Are branches prepared to sit on them on Shabbat?","http://talmudilluminated.com/shabbat/shabbat50.html","61","No","Missing Meta Description","0","No","No",
"Shabbat 51 - Warm food on Shabbat","http://talmudilluminated.com/shabbat/shabbat51.html","33","No","Missing Meta Description","0","No","No",
"Shabbat 52 - What may an animal wear on Shabbat","http://talmudilluminated.com/shabbat/shabbat52.html","47","No","Missing Meta Description","0","No","No",
"Shabbat 53 - Additional wear for the animals","http://talmudilluminated.com/shabbat/shabbat53.html","44","No","Missing Meta Description","0","No","No",
"Shabbat 54 - What animal may not wear","http://talmudilluminated.com/shabbat/shabbat54.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 55 - The cow of Rabbi Elazar ben Azaryah","http://talmudilluminated.com/shabbat/shabbat55.html","48","No","Missing Meta Description","0","No","No",
"Shabbat 56 - Wrong conclusions","http://talmudilluminated.com/shabbat/shabbat56.html","30","No","Missing Meta Description","0","No","No",
"Shabbat 57 - What a woman may not wear outside","http://talmudilluminated.com/shabbat/shabbat57.html","46","No","Missing Meta Description","0","No","No",
"Shabbat 58 - Servant's emblem","http://talmudilluminated.com/shabbat/shabbat58.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 59 - Jerusalem of gold","http://talmudilluminated.com/shabbat/shabbat59.html","30","No","Missing Meta Description","0","No","No",
"Shabbat 60 - Sandals","http://talmudilluminated.com/shabbat/shabbat60.html","20","No","Missing Meta Description","0","No","No",
"Shabbat 61 - How to put on shoes","http://talmudilluminated.com/shabbat/shabbat61.html","32","No","Missing Meta Description","0","No","No",
"Shabbat 62 - Balsam oil","http://talmudilluminated.com/shabbat/shabbat62.html","23","No","Missing Meta Description","0","No","No",
"Shabbat 63 - Weapons","http://talmudilluminated.com/shabbat/shabbat63.html","20","No","Missing Meta Description","0","No","No",
"Shabbat 64 - Ornaments of a woman on Shabbat","http://talmudilluminated.com/shabbat/shabbat64.html","44","No","Missing Meta Description","0","No","No",
"Shabbat 65 - Golden tooth","http://talmudilluminated.com/shabbat/shabbat65.html","25","No","Missing Meta Description","0","No","No",
"Shabbat 66 - Cripple","http://talmudilluminated.com/shabbat/shabbat66.html","20","No","Missing Meta Description","0","No","No",
"Shabbat 67 - Fox's tooth and nail from the gallows","http://talmudilluminated.com/shabbat/shabbat67.html","50","No","Missing Meta Description","0","No","No",
"Shabbat 68 - A &quot;major&quot; rule about Shabbat","http://talmudilluminated.com/shabbat/shabbat68.html","41","No","Missing Meta Description","0","No","No",
"Shabbat 70 - Shabbat in a desert","http://talmudilluminated.com/shabbat/shabbat70.html","32","No","Missing Meta Description","0","No","No",
"Shabbat 71 - Drag-along atonement","http://talmudilluminated.com/shabbat/shabbat71.html","33","No","Missing Meta Description","0","No","No",
"Shabbat 72 - Guilt","http://talmudilluminated.com/shabbat/shabbat72.html","18","No","Missing Meta Description","0","No","No",
"Shabbat 73 - Thirty nine, the complete list","http://talmudilluminated.com/shabbat/shabbat73.html","43","No","Missing Meta Description","0","No","No",
"Shabbat 74 - What is selection?","http://talmudilluminated.com/shabbat/shabbat74.html","31","No","Missing Meta Description","0","No","No",
"Shabbat 75 - A special talent in math","http://talmudilluminated.com/shabbat/shabbat75.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 76 - How much to carry?","http://talmudilluminated.com/shabbat/shabbat76.html","31","No","Missing Meta Description","0","No","No",
"Shabbat 77 - Rav Yehudah in a jovial mood","http://talmudilluminated.com/shabbat/shabbat77.html","41","No","Missing Meta Description","0","No","No",
"Shabbat 78 - Useful small amounts","http://talmudilluminated.com/shabbat/shabbat78.html","33","No","Missing Meta Description","0","No","No",
"Shabbat 79 - Carrying a document on Shabbat","http://talmudilluminated.com/shabbat/shabbat79.html","43","No","Missing Meta Description","0","No","No",
"Shabbat 80 - Ink and oil","http://talmudilluminated.com/shabbat/shabbat80.html","24","No","Missing Meta Description","0","No","No",
"Shabbat 81 - Using a bathroom","http://talmudilluminated.com/shabbat/shabbat81.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 82 - Hints","http://talmudilluminated.com/shabbat/shabbat82.html","18","No","Missing Meta Description","0","No","No",
"Shabbat 83 - Idol assembly","http://talmudilluminated.com/shabbat/shabbat83.html","26","No","Missing Meta Description","0","No","No",
"Shabbat 84 - Allusions","http://talmudilluminated.com/shabbat/shabbat84.html","22","No","Missing Meta Description","0","No","No",
"Shabbat 85 - Seeds in a garden patch","http://talmudilluminated.com/shabbat/shabbat85.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 86 - Three days before the giving of the Torah","http://talmudilluminated.com/shabbat/shabbat86.html","54","No","Missing Meta Description","0","No","No",
"Shabbat 87 - When was the Torah given?","http://talmudilluminated.com/shabbat/shabbat87.html","38","No","Missing Meta Description","0","No","No",
"Shabbat 88 - The &quot;marriage&quot; between God and the people of Israel","http://talmudilluminated.com/shabbat/shabbat88.html","64","No","Missing Meta Description","0","No","No",
"Shabbat 89 - What is Mount Sinai?","http://talmudilluminated.com/shabbat/shabbat89.html","33","No","Missing Meta Description","0","No","No",
"Shabbat 90 - Taking out food on Shabbat","http://talmudilluminated.com/shabbat/shabbat90.html","39","No","Missing Meta Description","0","No","No",
"Shabbat 101 - Ships in a sea","http://talmudilluminated.com/shabbat/shabbat101.html","28","No","Missing Meta Description","0","No","No",
"Shabbat 102 - Building","http://talmudilluminated.com/shabbat/shabbat102.html","22","No","Missing Meta Description","0","No","No",
"Shabbat 103 - One writes two letters","http://talmudilluminated.com/shabbat/shabbat103.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 104 - Nonpunishable Shabbat writing","http://talmudilluminated.com/shabbat/shabbat104.html","43","No","Missing Meta Description","0","No","No",
"Shabbat 105 - Abbreviations","http://talmudilluminated.com/shabbat/shabbat105.html","27","No","Missing Meta Description","0","No","No",
"Shabbat 106 - Traps","http://talmudilluminated.com/shabbat/shabbat106.html","19","No","Missing Meta Description","0","No","No",
"Shabbat 107 - Two people catch a deer","http://talmudilluminated.com/shabbat/shabbat107.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 108 - Writing on fish skin","http://talmudilluminated.com/shabbat/shabbat108.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 109 - Healing on Shabbat","http://talmudilluminated.com/shabbat/shabbat109.html","32","No","Missing Meta Description","0","No","No",
"Shabbat 110 - Water left uncovered","http://talmudilluminated.com/shabbat/shabbat110.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 111 - Aches and pains","http://talmudilluminated.com/shabbat/shabbat111.html","29","No","Missing Meta Description","0","No","No",
"Shabbat 112 - And these are the knots...","http://talmudilluminated.com/shabbat/shabbat112.html","40","No","Missing Meta Description","0","No","No",
"Shabbat 113 - Clothing","http://talmudilluminated.com/shabbat/shabbat113.html","22","No","Missing Meta Description","0","No","No",
"Shabbat 114 - Clean garments","http://talmudilluminated.com/shabbat/shabbat114.html","28","No","Missing Meta Description","0","No","No",
"Shabbat 115 - What can be saved from fire on Shabbat","http://talmudilluminated.com/shabbat/shabbat115.html","52","No","Missing Meta Description","0","No","No",
"Shabbat 116 - Eighty-five letters","http://talmudilluminated.com/shabbat/shabbat116.html","33","No","Missing Meta Description","0","No","No",
"Shabbat 117 - Saving food","http://talmudilluminated.com/shabbat/shabbat117.html","25","No","Missing Meta Description","0","No","No",
"Shabbat 118 - Three or four meals?","http://talmudilluminated.com/shabbat/shabbat118.html","34","No","Missing Meta Description","0","No","No",
"Shabbat 119 - Each one has his own mitzvah","http://talmudilluminated.com/shabbat/shabbat119.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 120 - Helping others to save food from fire","http://talmudilluminated.com/shabbat/shabbat120.html","51","No","Missing Meta Description","0","No","No",
"Shabbat 121 - Firemen","http://talmudilluminated.com/shabbat/shabbat121.html","21","No","Missing Meta Description","0","No","No",
"Shabbat 122 - One light serves a hundred people","http://talmudilluminated.com/shabbat/shabbat122.html","47","No","Missing Meta Description","0","No","No",
"Shabbat 123 - Carriages, trunks and movable closets","http://talmudilluminated.com/shabbat/shabbat123.html","51","No","Missing Meta Description","0","No","No",
"Shabbat 124 - Prophet Nechemia and Shabbat","http://talmudilluminated.com/shabbat/shabbat124.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 125 - Prohibited and permitted","http://talmudilluminated.com/shabbat/shabbat125.html","38","No","Missing Meta Description","0","No","No",
"Shabbat 126 - Stopping Shabbat rest","http://talmudilluminated.com/shabbat/shabbat126.html","35","No","Missing Meta Description","0","No","No",
"Shabbat 128 - Caring for the chicken, calves and children","http://talmudilluminated.com/shabbat/shabbat128.html","57","No","Missing Meta Description","0","No","No",
"Shabbat 129 - A woman who gave birth","http://talmudilluminated.com/shabbat/shabbat129.html","36","No","Missing Meta Description","0","No","No",
"Shabbat 130 - Preparing for a circumcision","http://talmudilluminated.com/shabbat/shabbat130.html","42","No","Missing Meta Description","0","No","No",
"Shabbat 131 - Violating Shabbat to do a mitzvah","http://talmudilluminated.com/shabbat/shabbat131.html","47","No","Missing Meta Description","0","No","No",
"Shabbat 132 - Circumcision can be done on Shabbat","http://talmudilluminated.com/shabbat/shabbat132.html","49","No","Missing Meta Description","0","No","No",
"Shabbat 133 - All necessities of circumcision","http://talmudilluminated.com/shabbat/shabbat133.html","45","No","Missing Meta Description","0","No","No",
"Shabbat 134 - Washing the baby","http://talmudilluminated.com/shabbat/shabbat134.html","30","No","Missing Meta Description","0","No","No",
"Shabbat 135 - Circumcision for an androgyne","http://talmudilluminated.com/shabbat/shabbat135.html","43","No","Missing Meta Description","0","No","No",
"Shabbat 136 - How can we ever circumcise on Shabbat?","http://talmudilluminated.com/shabbat/shabbat136.html","52","No","Missing Meta Description","0","No","No",
"Shabbat 137 - Transgressing while attempting a mitzvah","http://talmudilluminated.com/shabbat/shabbat137.html","54","No","Missing Meta Description","0","No","No",
"Shabbat 138 - Straining wine","http://talmudilluminated.com/shabbat/shabbat138.html","28","No","Missing Meta Description","0","No","No",
"Shabbat 139 - Stricter laws for the ignorant","http://talmudilluminated.com/shabbat/shabbat139.html","44","No","Missing Meta Description","0","No","No",
"Shabbat 140 - Making mustard","http://talmudilluminated.com/shabbat/shabbat140.html","28","No","Missing Meta Description","0","No","No",
"Shabbat 141 - The advice of Rav Chisda","http://talmudilluminated.com/shabbat/shabbat141.html","38","No","Missing Meta Description","0","No","No",
"Shabbat 142 - Son holds a stone","http://talmudilluminated.com/shabbat/shabbat142.html","31","No","Missing Meta Description","0","No","No",
"Shabbat 143 - Bones left on the table","http://talmudilluminated.com/shabbat/shabbat143.html","37","No","Missing Meta Description","0","No","No",
"Shabbat 144 - Milk purity","http://talmudilluminated.com/shabbat/shabbat144.html","25","No","Missing Meta Description","0","No","No",
"Eruvin 2 - Houses, courtyard, alley","http://talmudilluminated.com/eruvin/eruvin2.html","35","No","Missing Meta Description","0","No","No",
"Eruvin 3 - Partially high enough","http://talmudilluminated.com/eruvin/eruvin3.html","32","No","Missing Meta Description","0","No","No",
